Survey_strategy Optic Science_case M1_%pix M1_%priority
Option_6a F184 Morihana2 0.0 0.0
Option_6b F184 Morihana2 0.0 0.0
Option_7a F184 Morihana2 0.0 0.0
Option_7b F184 Morihana2 0.0 0.0
Option_8a F184 Morihana2 0.0 0.0
Option_8b F184 Morihana2 0.0 0.0
Option_1a F213 Morihana2 53.937007874015755 54.474708171206224
Option_1b F213 Morihana2 70.47244094488188 70.8171206225681
Option_2a F213 Morihana2 70.47244094488188 70.8171206225681
Option_2b F213 Morihana2 70.47244094488188 70.8171206225681
Option_3a F213 Morihana2 37.79527559055118 38.52140077821012
Option_3b F213 Morihana2 70.47244094488188 70.8171206225681
Option_4a F213 Morihana2 70.47244094488188 70.8171206225681
Option_4b F213 Morihana2 70.47244094488188 70.8171206225681
Option_5a F213 Morihana2 58.661417322834644 59.143968871595334
Option_5b F213 Morihana2 70.47244094488188 70.8171206225681
Option_6a F213 Morihana2 70.47244094488188 70.8171206225681
Option_6b F213 Morihana2 70.47244094488188 70.8171206225681
Option_7a F213 Morihana2 6.299212598425196 6.22568093385214
Option_7b F213 Morihana2 53.937007874015755 54.474708171206224
Option_8a F213 Morihana2 51.96850393700787 52.52918287937744
Option_8b F213 Morihana2 70.47244094488188 70.8171206225681
Option_1a F129 Morihana1 53.937007874015755 54.474708171206224
Option_1b F129 Morihana1 70.47244094488188 70.8171206225681
Option_2a F129 Morihana1 70.47244094488188 70.8171206225681
Option_2b F129 Morihana1 70.47244094488188 70.8171206225681
Option_3a F129 Morihana1 37.79527559055118 38.52140077821012
Option_3b F129 Morihana1 70.47244094488188 70.8171206225681
Option_4a F129 Morihana1 70.47244094488188 70.8171206225681
Option_4b F129 Morihana1 70.47244094488188 70.8171206225681
Option_5a F129 Morihana1 58.661417322834644 59.143968871595334
Option_5b F129 Morihana1 70.47244094488188 70.8171206225681
Option_6a F129 Morihana1 70.47244094488188 70.8171206225681
Option_6b F129 Morihana1 70.47244094488188 70.8171206225681
Option_7a F129 Morihana1 6.299212598425196 6.22568093385214
Option_7b F129 Morihana1 53.937007874015755 54.474708171206224
Option_8a F129 Morihana1 51.96850393700787 52.52918287937744
Option_8b F129 Morihana1 70.47244094488188 70.8171206225681
Option_1a F158 Morihana1 19.68503937007874 19.844357976653697
Option_1b F158 Morihana1 53.937007874015755 54.474708171206224
Option_2a F158 Morihana1 19.68503937007874 19.844357976653697
Option_2b F158 Morihana1 53.937007874015755 54.474708171206224
Option_3a F158 Morihana1 3.937007874015748 3.8910505836575875
Option_3b F158 Morihana1 33.46456692913386 34.24124513618677
Option_4a F158 Morihana1 3.937007874015748 3.8910505836575875
Option_4b F158 Morihana1 33.46456692913386 34.24124513618677
Option_5a F158 Morihana1 58.661417322834644 59.143968871595334
Option_5b F158 Morihana1 70.47244094488188 70.8171206225681
Option_6a F158 Morihana1 70.47244094488188 70.8171206225681
Option_6b F158 Morihana1 70.47244094488188 70.8171206225681
Option_7a F158 Morihana1 6.299212598425196 6.22568093385214
Option_7b F158 Morihana1 53.937007874015755 54.474708171206224
Option_8a F158 Morihana1 51.96850393700787 52.52918287937744
Option_8b F158 Morihana1 70.47244094488188 70.8171206225681
Option_1a F213 Morihana1 53.937007874015755 54.474708171206224
Option_1b F213 Morihana1 70.47244094488188 70.8171206225681
Option_2a F213 Morihana1 70.47244094488188 70.8171206225681
Option_2b F213 Morihana1 70.47244094488188 70.8171206225681
Option_3a F213 Morihana1 37.79527559055118 38.52140077821012
Option_3b F213 Morihana1 70.47244094488188 70.8171206225681
Option_4a F213 Morihana1 70.47244094488188 70.8171206225681
Option_4b F213 Morihana1 70.47244094488188 70.8171206225681
Option_5a F213 Morihana1 58.661417322834644 59.143968871595334
Option_5b F213 Morihana1 70.47244094488188 70.8171206225681
Option_6a F213 Morihana1 70.47244094488188 70.8171206225681
Option_6b F213 Morihana1 70.47244094488188 70.8171206225681
Option_7a F213 Morihana1 6.299212598425196 6.22568093385214
Option_7b F213 Morihana1 53.937007874015755 54.474708171206224
Option_8a F213 Morihana1 51.96850393700787 52.52918287937744
Option_8b F213 Morihana1 70.47244094488188 70.8171206225681
Option_1a F087 Bahramian 0.0 0.0
Option_1b F087 Bahramian 0.0 0.0
Option_2a F087 Bahramian 0.0 0.0
Option_2b F087 Bahramian 0.0 0.0
Option_3a F087 Bahramian 10.266620498614959 11.626652279471271
Option_3b F087 Bahramian 12.032548476454293 14.378203398974913
Option_4a F087 Bahramian 7.271468144044321 9.293229026166712
Option_4b F087 Bahramian 9.037396121883656 12.044780145670353
Option_5a F087 Bahramian 0.0 0.0
Option_5b F087 Bahramian 0.0 0.0
Option_6a F087 Bahramian 0.0 0.0
Option_6b F087 Bahramian 0.0 0.0
Option_7a F087 Bahramian 0.0 0.0
Option_7b F087 Bahramian 0.0 0.0
Option_8a F087 Bahramian 0.0 0.0
Option_8b F087 Bahramian 0.0 0.0
Option_1a F129 Bahramian 15.114265927977838 19.179929862422444
Option_1b F129 Bahramian 20.827562326869806 28.082007013757753
Option_2a F129 Bahramian 14.162049861495845 20.02967359050445
Option_2b F129 Bahramian 19.96191135734072 29.066630698678175
Option_3a F129 Bahramian 13.677285318559557 16.940922578904775
Option_3b F129 Bahramian 18.992382271468145 25.222551928783382
Option_4a F129 Bahramian 14.71606648199446 20.892905314270298
Option_4b F129 Bahramian 20.15235457063712 29.363366603722685
Option_5a F129 Bahramian 15.512465373961218 19.80037766387915
Option_5b F129 Bahramian 21.46814404432133 29.080118694362017
Option_6a F129 Bahramian 16.655124653739612 23.914216347450772
Option_6b F129 Bahramian 22.628116343490305 33.22093336930132
Option_7a F129 Bahramian 10.837950138504155 12.5168599946048
Option_7b F129 Bahramian 15.131578947368421 19.206905853790126
Option_8a F129 Bahramian 11.876731301939058 16.468842729970326
Option_8b F129 Bahramian 16.23961218836565 23.266792554626385
Option_1a F158 Bahramian 12.10180055401662 14.486107364445644
Option_1b F158 Bahramian 15.114265927977838 19.179929862422444
Option_2a F158 Bahramian 9.106648199445983 12.152684111141085
Option_2b F158 Bahramian 12.119113573407201 16.846506609117885
Option_3a F158 Bahramian 10.664819944598337 12.247100080927973
Option_3b F158 Bahramian 13.29639889196676 16.347450768815754
Option_4a F158 Bahramian 7.669667590027701 9.913676827623414
Option_4b F158 Bahramian 10.301246537396121 14.014027515511195
Option_5a F158 Bahramian 15.512465373961218 19.80037766387915
Option_5b F158 Bahramian 21.46814404432133 29.080118694362017
Option_6a F158 Bahramian 16.655124653739612 23.914216347450772
Option_6b F158 Bahramian 22.628116343490305 33.22093336930132
Option_7a F158 Bahramian 10.837950138504155 12.5168599946048
Option_7b F158 Bahramian 15.131578947368421 19.206905853790126
Option_8a F158 Bahramian 11.876731301939058 16.468842729970326
Option_8b F158 Bahramian 16.23961218836565 23.266792554626385
Option_1a F184 Bahramian 0.0 0.0
Option_1b F184 Bahramian 0.0 0.0
Option_2a F184 Bahramian 0.0 0.0
Option_2b F184 Bahramian 0.0 0.0
Option_3a F184 Bahramian 10.266620498614959 11.626652279471271
Option_3b F184 Bahramian 12.032548476454293 14.378203398974913
Option_4a F184 Bahramian 7.271468144044321 9.293229026166712
Option_4b F184 Bahramian 9.037396121883656 12.044780145670353
Option_5a F184 Bahramian 0.0 0.0
