Survey_region Science_region Common_area M6_%TD_Region
time_domain_TDS_Galactic_Center "Bonito_NGC 6530" 0.0 0.0
time_domain_TDS_NGC6334_6357 "Bonito_NGC 6530" 0.0 0.0
time_domain_TDS_Carina "Bonito_NGC 6530" 0.0 0.0
time_domain_TDS_W43 "Bonito_NGC 6530" 0.0 0.0
time_domain_TDS_Serpens_W40 "Bonito_NGC 6530" 0.0 0.0
time_domain_TDS_Baades_Windows "Bonito_Orion Nebula Cluster" 0.0 0.0
time_domain_TDS_Galactic_Center "Bonito_Orion Nebula Cluster" 0.0 0.0
time_domain_TDS_NGC6334_6357 "Bonito_Orion Nebula Cluster" 0.0 0.0
time_domain_TDS_Carina "Bonito_Orion Nebula Cluster" 0.0 0.0
time_domain_TDS_W43 "Bonito_Orion Nebula Cluster" 0.0 0.0
time_domain_TDS_Serpens_W40 "Bonito_Orion Nebula Cluster" 0.0 0.0
time_domain_TDS_Baades_Windows "Bonito_NGC 2264" 0.0 0.0
time_domain_TDS_Galactic_Center "Bonito_NGC 2264" 0.0 0.0
time_domain_TDS_NGC6334_6357 "Bonito_NGC 2264" 0.0 0.0
time_domain_TDS_Carina "Bonito_NGC 2264" 0.0 0.0
time_domain_TDS_W43 "Bonito_NGC 2264" 0.0 0.0
time_domain_TDS_Serpens_W40 "Bonito_NGC 2264" 0.0 0.0
time_domain_TDS_Baades_Windows Pardo_-90deg 0.0 0.0
time_domain_TDS_Galactic_Center Pardo_-90deg 0.0 0.0
time_domain_TDS_NGC6334_6357 Pardo_-90deg 0.0 0.0
time_domain_TDS_Carina Pardo_-90deg 0.0 0.0
time_domain_TDS_W43 Pardo_-90deg 0.0 0.0
time_domain_TDS_Serpens_W40 Pardo_-90deg 0.0 0.0
time_domain_TDS_Baades_Windows Pardo_90deg 0.0 0.0
time_domain_TDS_Galactic_Center Pardo_90deg 0.0 0.0
time_domain_TDS_NGC6334_6357 Pardo_90deg 0.0 0.0
time_domain_TDS_Carina Pardo_90deg 0.0 0.0
time_domain_TDS_W43 Pardo_90deg 0.0 0.0
time_domain_TDS_Serpens_W40 Pardo_90deg 0.0 0.0
time_domain_TDS_all_fields DAmmando_DAmmando_catalog 1.6785872904223336 0.02440214738896942
