Survey_strategy Optic Science_case Category M3_%regions M3_count
time_domain F213 Sankrit wide_area 100.0 1
wide_area F106 Gallart wide_area 100.0 1
panchromatic F106 Gallart wide_area 100.0 1
time_domain F106 Gallart wide_area 100.0 1
wide_area F129 Gallart wide_area 100.0 1
panchromatic F129 Gallart wide_area 100.0 1
time_domain F129 Gallart wide_area 100.0 1
wide_area F213 Gallart wide_area 100.0 1
panchromatic F213 Gallart wide_area 100.0 1
time_domain F213 Gallart wide_area 100.0 1
wide_area F213 Craig1 wide_area 100.0 1
panchromatic F213 Craig1 wide_area 100.0 1
time_domain F213 Craig1 wide_area 0.0 0
wide_area F062 Sabin wide_area 0.0 0
panchromatic F062 Sabin wide_area 100.0 2
time_domain F062 Sabin wide_area 100.0 2
wide_area F129 Sabin wide_area 100.0 2
panchromatic F129 Sabin wide_area 100.0 2
time_domain F129 Sabin wide_area 100.0 2
wide_area F158 Sabin wide_area 100.0 2
panchromatic F158 Sabin wide_area 100.0 2
time_domain F158 Sabin wide_area 100.0 2
wide_area F213 Sabin wide_area 100.0 2
panchromatic F213 Sabin wide_area 100.0 2
time_domain F213 Sabin wide_area 100.0 2
wide_area F129 Minniti_GCs wide_area 100.0 1
panchromatic F129 Minniti_GCs wide_area 100.0 1
time_domain F129 Minniti_GCs wide_area 100.0 1
wide_area F158 Minniti_GCs wide_area 100.0 1
panchromatic F158 Minniti_GCs wide_area 100.0 1
time_domain F158 Minniti_GCs wide_area 100.0 1
wide_area F213 Minniti_GCs wide_area 100.0 1
panchromatic F213 Minniti_GCs wide_area 100.0 1
time_domain F213 Minniti_GCs wide_area 100.0 1
wide_area F129 Saito wide_area 100.0 1
panchromatic F129 Saito wide_area 100.0 1
time_domain F129 Saito wide_area 100.0 1
wide_area F158 Saito wide_area 100.0 1
panchromatic F158 Saito wide_area 100.0 1
time_domain F158 Saito wide_area 100.0 1
wide_area F213 Saito wide_area 100.0 1
panchromatic F213 Saito wide_area 100.0 1
time_domain F213 Saito wide_area 100.0 1
wide_area F213 Craig wide_area 100.0 1
panchromatic F213 Craig wide_area 100.0 1
time_domain F213 Craig wide_area 100.0 1
