Survey_strategy Optic Science_case Science_code M1_%pix M1_%priority
wide_area F158 Bahramian SP27 16.54797787420092 23.90310746468002
deep_spec F158 Bahramian SP27 0.20646329480087885 0.3148226845788921
time_domain F158 Bahramian SP27 0.6370551930487011 0.9115114090700155
wide_area F184 Bahramian SP27 13.113179424331756 20.512042184505173
deep_spec F184 Bahramian SP27 0.19100614973557242 0.30007892249117546
time_domain F184 Bahramian SP27 0.3930531173749351 0.6175034474384882
wide_area F213 Bahramian SP27 16.54797787420092 23.90310746468002
deep_spec F213 Bahramian SP27 0.20646329480087885 0.3148226845788921
time_domain F213 Bahramian SP27 0.6370551930487011 0.9115114090700155
wide_area F146 Bahramian SP27 0.0 0.0
deep_spec F146 Bahramian SP27 0.0 0.0
time_domain F146 Bahramian SP27 0.0 0.0
wide_area F062 Lodieu2 SP02 0.0 0.0
deep_spec F062 Lodieu2 SP02 0.0 0.0
time_domain F062 Lodieu2 SP02 0.0 0.0
wide_area F087 Lodieu2 SP02 0.0 0.0
deep_spec F087 Lodieu2 SP02 0.0 0.0
time_domain F087 Lodieu2 SP02 0.0 0.0
wide_area F106 Lodieu2 SP02 0.0 0.0
deep_spec F106 Lodieu2 SP02 0.0 0.0
time_domain F106 Lodieu2 SP02 0.0 0.0
wide_area F129 Lodieu2 SP02 0.0 0.0
deep_spec F129 Lodieu2 SP02 0.0 0.0
time_domain F129 Lodieu2 SP02 0.0 0.0
wide_area F158 Lodieu2 SP02 0.0 0.0
deep_spec F158 Lodieu2 SP02 0.0 0.0
time_domain F158 Lodieu2 SP02 0.0 0.0
wide_area F184 Lodieu2 SP02 0.0 0.0
deep_spec F184 Lodieu2 SP02 0.0 0.0
time_domain F184 Lodieu2 SP02 0.0 0.0
wide_area F213 Lodieu2 SP02 0.0 0.0
deep_spec F213 Lodieu2 SP02 0.0 0.0
time_domain F213 Lodieu2 SP02 0.0 0.0
wide_area F146 Lodieu2 SP02 0.0 0.0
deep_spec F146 Lodieu2 SP02 0.0 0.0
time_domain F146 Lodieu2 SP02 0.0 0.0
wide_area F146 Benecchi WP05 0.0 0.0
deep_spec F146 Benecchi WP05 0.0 0.0
time_domain F146 Benecchi WP05 0.0 0.0
wide_area F129 Morihana2 SP08 100.0 100.0
deep_spec F129 Morihana2 SP08 2.5587828492392806 3.0821917808219177
time_domain F129 Morihana2 SP08 5.255878284923928 5.205479452054795
wide_area F184 Morihana2 SP08 100.0 100.0
deep_spec F184 Morihana2 SP08 2.5587828492392806 3.0821917808219177
time_domain F184 Morihana2 SP08 5.255878284923928 5.205479452054795
wide_area F213 Morihana2 SP08 100.0 100.0
deep_spec F213 Morihana2 SP08 2.5587828492392806 3.0821917808219177
time_domain F213 Morihana2 SP08 5.255878284923928 5.205479452054795
wide_area F106 Hunt SP05 0.5961011760915096 0.5961011760915096
deep_spec F106 Hunt SP05 1.288867407765426 1.288867407765426
time_domain F106 Hunt SP05 2.9241179313678107 2.9241179313678107
wide_area F129 Hunt SP05 82.39084904140486 82.39084904140486
deep_spec F129 Hunt SP05 1.288867407765426 1.288867407765426
time_domain F129 Hunt SP05 2.9241179313678107 2.9241179313678107
wide_area F158 Hunt SP05 82.39084904140486 82.39084904140486
deep_spec F158 Hunt SP05 1.288867407765426 1.288867407765426
time_domain F158 Hunt SP05 2.9241179313678107 2.9241179313678107
wide_area F213 Hunt SP05 82.39084904140486 82.39084904140486
deep_spec F213 Hunt SP05 1.288867407765426 1.288867407765426
time_domain F213 Hunt SP05 2.9241179313678107 2.9241179313678107
wide_area F087 Carey2 SP30 0.0 0.0
deep_spec F087 Carey2 SP30 0.43668122270742354 0.43668122270742354
time_domain F087 Carey2 SP30 6.744298884036875 6.744298884036875
wide_area F106 Carey2 SP30 0.0 0.0
deep_spec F106 Carey2 SP30 0.43668122270742354 0.43668122270742354
