Survey_strategy Survey_region Science_case Science_region Common_area Optic M6_%sky_area_nvisits
wide_area wide_area Carey Carey_Carey2 0.0 F184 0.0
wide_area wide_area Carey Carey_Carey1 0.0 F213 0.0
wide_area wide_area Carey Carey_Carey2 0.0 F213 0.0
wide_area wide_area Sankrit Sankrit_Low_extinction_survey 0.0 F062 0.0
wide_area wide_area Sankrit Sankrit_Low_extinction_survey 0.0 F129 0.0
wide_area wide_area Sankrit Sankrit_Low_extinction_survey 0.0 F184 0.0
wide_area wide_area Sankrit Sankrit_Low_extinction_survey 0.0 F213 0.0
wide_area wide_area Gallart Gallart_Stellar_ages_survey 0.0 F106 0.0
wide_area wide_area Gallart Gallart_Stellar_ages_survey 0.0 F129 0.0
wide_area wide_area Gallart Gallart_Stellar_ages_survey 0.0 F213 0.0
wide_area wide_area Craig1 Craig1_Low_extinction_survey 0.0 F213 0.0
wide_area wide_area Sabin Sabin_Evolved_stars 0.0 F062 0.0
wide_area wide_area Sabin Sabin_Evolved_stars_Bulge 0.0 F062 0.0
wide_area wide_area Sabin Sabin_Evolved_stars 0.0 F129 0.0
wide_area wide_area Sabin Sabin_Evolved_stars_Bulge 0.0 F129 0.0
wide_area wide_area Sabin Sabin_Evolved_stars 0.0 F158 0.0
wide_area wide_area Sabin Sabin_Evolved_stars_Bulge 0.0 F158 0.0
wide_area wide_area Sabin Sabin_Evolved_stars 0.0 F213 0.0
wide_area wide_area Sabin Sabin_Evolved_stars_Bulge 0.0 F213 0.0
wide_area wide_area Minniti_GCs Minniti_GCs_Galactic_clusters 0.0 F129 0.0
wide_area wide_area Minniti_GCs Minniti_GCs_Galactic_clusters 0.0 F158 0.0
wide_area wide_area Minniti_GCs Minniti_GCs_Galactic_clusters 0.0 F213 0.0
wide_area wide_area Saito Saito_Bulge_survey 0.0 F129 0.0
wide_area wide_area Saito Saito_Bulge_survey 0.0 F158 0.0
wide_area wide_area Saito Saito_Bulge_survey 0.0 F213 0.0
wide_area wide_area Craig Craig_Plane_survey 0.0 F213 0.0
